,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
165,아펠리오스,패배,29분 8초,회복,점멸,정복자,마법,3/13/5,0.62,13,164,5.6,42%,광전사의 군화,무한의 대검,루난의 허리케인,단검,단검,도란의 검
166,이즈리얼,패배,21분 12초,회복,점멸,정복자,영감,1/8/4,0.62,10,93,4.4,50%,명석함의 아이오니아 장화,마나무네,광휘의 검,-,-,-
167,이즈리얼,패배,16분 59초,회복,점멸,정복자,영감,2/3/0,0.67,9,116,6.8,29%,속도의 장화,마나무네,충전형 물약,광휘의 검,빙하의 장막,도란의 방패
168,이즈리얼,승리,38분 44초,회복,점멸,정복자,영감,10/10/19,2.90,18,201,5.2,57%,명석함의 아이오니아 장화,무라마나,망가진 초시계,얼어붙은 건틀릿,죽음의 무도,맬모셔스의 아귀
169,이즈리얼,패배,24분 22초,회복,점멸,정복자,영감,0/3/7,2.33,12,146,6.0,35%,속도의 장화,마나무네,얼어붙은 건틀릿,처형인의 대검,도란의 검,-
170,이즈리얼,승리,37분 22초,회복,점멸,정복자,영감,12/2/18,15.00,17,232,6.2,75%,명석함의 아이오니아 장화,무라마나,헤르메스의 시미터,얼어붙은 건틀릿,죽음의 무도,필멸자의 운명
171,이즈리얼,승리,16분 24초,회복,점멸,정복자,영감,0/0/0,0.00,9,135,8.2,0%,속도의 장화,마나무네,-,광휘의 검,천 갑옷,도란의 방패
172,바루스,패배,20분 26초,회복,점멸,신비로운 유성,정밀,2/7/1,0.43,10,102,5.0,50%,속도의 장화,존야의 모래시계,부패 물약,-,-,-
173,이즈리얼,패배,26분 34초,회복,점멸,정복자,영감,2/7/3,0.71,11,148,5.6,36%,명석함의 아이오니아 장화,존야의 모래시계,제어 와드,-,-,-
174,이즈리얼,승리,26분 27초,회복,점멸,정복자,영감,15/4/10,6.25,15,192,7.3,57%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,얼어붙은 건틀릿,죽음의 무도,-
