,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
63,엘리스,패배,32분 38초,강타,점멸,어둠의 수확,마법,5/7/4,1.29,13,29,0.9,41%,리안드리의 고통,망가진 초시계,제어 와드,밴시의 장막,마법 부여: 룬의 메아리,기동력의 장화
64,엘리스,승리,25분 56초,강타,점멸,어둠의 수확,마법,7/4/7,3.50,14,10,0.4,50%,추적자의 팔목 보호대,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,기동력의 장화
65,리 신,승리,32분 4초,강타,점멸,정복자,영감,9/5/11,4.00,16,23,0.7,49%,죽음의 무도,그림자 검,루비 수정,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
66,엘리스,승리,37분 2초,강타,점멸,어둠의 수확,영감,7/3/19,8.67,18,52,1.4,60%,모렐로노미콘,존야의 모래시계,-,리안드리의 고통,마법 부여: 룬의 메아리,기동력의 장화
67,릴리아,승리,27분 25초,강타,점멸,난입,지배,3/4/12,3.75,15,35,1.3,65%,추적자의 팔목 보호대,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,닌자의 신발
68,킨드레드,패배,36분 28초,강타,점멸,집중 공격,지배,7/4/19,6.50,17,40,1.1,65%,필멸자의 운명,수호 천사,열정의 검,칠흑의 양날 도끼,마법 부여: 용사,광전사의 군화
69,엘리스,패배,35분 32초,강타,점멸,감전,마법,9/5/6,3.00,14,32,0.9,65%,밴시의 장막,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
70,리 신,승리,30분 2초,강타,점멸,정복자,영감,12/3/17,9.67,16,34,1.1,71%,처형인의 대검,죽음의 무도,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
71,애쉬,승리,19분 1초,회복,점멸,치명적 속도,영감,3/4/6,2.25,11,129,6.8,24%,도란의 검,몰락한 왕의 검,B.F. 대검,-,콜필드의 전투 망치,약간 신비한 장화
72,이즈리얼,승리,34분 12초,회복,점멸,정복자,영감,17/4/12,7.25,17,221,6.5,67%,죽음의 무도,빌지워터의 해적검,헤르메스의 시미터,얼어붙은 건틀릿,무라마나,명석함의 아이오니아 장화
73,애쉬,패배,36분 39초,회복,점멸,기민한 발놀림,영감,4/8/10,1.75,15,195,5.3,48%,루난의 허리케인,몰락한 왕의 검,-,정수 약탈자,도란의 검,광전사의 군화
74,킨드레드,패배,43분 18초,강타,점멸,집중 공격,지배,9/10/5,1.40,17,109,2.5,52%,필멸자의 운명,몰락한 왕의 힘,수호 천사,칠흑의 양날 도끼,마법 부여: 용사,광전사의 군화
75,엘리스,승리,22분 58초,강타,점멸,어둠의 수확,영감,2/1/10,12.00,12,15,0.7,41%,암흑의 인장,충전형 물약,-,기괴한 가면,마법 부여: 룬의 메아리,마법사의 신발
76,릴리아,승리,23분 46초,강타,점멸,어둠의 수확,마법,11/3/10,7.00,15,56,2.4,60%,라일라이의 수정홀,충전형 물약,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,닌자의 신발
77,리븐,패배,32분 20초,점화,점멸,정복자,결의,12/8/4,2.00,17,184,5.7,55%,스테락의 도전,굶주린 히드라,정수 약탈자,망자의 갑옷,-,명석함의 아이오니아 장화
78,탈론,패배,26분 59초,점화,점멸,감전,마법,4/5/6,2.00,14,152,5.6,59%,충전형 물약,요우무의 유령검,제어 와드,톱날 단검,드락사르의 황혼검,기동력의 장화
79,카이사,패배,26분 15초,회복,점멸,칼날비,정밀,4/4/3,1.75,13,221,8.4,47%,수확의 낫,-,내셔의 이빨,구인수의 격노검,무라마나,광전사의 군화
80,루시안,패배,32분 51초,회복,점멸,집중 공격,마법,3/5/3,1.20,16,250,7.6,26%,도란의 검,무한의 대검,흡혈의 낫,무라마나,정수 약탈자,헤르메스의 발걸음
81,카이사,패배,31분 3초,회복,점멸,칼날비,정밀,2/5/4,1.20,13,196,6.3,40%,도란의 검,내셔의 이빨,-,구인수의 격노검,무라마나,광전사의 군화
82,세나,패배,18분 13초,정화,점멸,빙결 강화,정밀,2/3/6,2.67,10,120,6.6,80%,도란의 검,점화석,탐식의 망치,수확의 낫,마나무네,신속의 장화
83,세나,승리,28분 37초,회복,점멸,빙결 강화,정밀,7/4/9,4.00,15,167,5.8,47%,처형인의 대검,요우무의 유령검,롱소드,고속 연사포,무라마나,신속의 장화
84,루시안,패배,23분 40초,회복,점멸,집중 공격,마법,2/4/3,1.25,11,164,6.9,36%,도란의 검,도란의 검,점화석,정수 약탈자,마나무네,속도의 장화
85,베인,승리,31분 0초,회복,점멸,집중 공격,마법,6/7/10,2.29,15,167,5.4,43%,구인수의 격노검,몰락한 왕의 검,-,유령 무희,도란의 방패,광전사의 군화
86,세나,패배,15분 6초,정화,유체화,착취의 손아귀,영감,1/3/0,0.33,9,50,3.3,20%,-,체력 물약,굳건한 의지의 완전한 비스킷,루비 수정,그림자 검,신속의 장화
87,엘리스,패배,20분 11초,강타,점멸,어둠의 수확,영감,4/4/2,1.50,11,15,0.7,55%,방출의 마법봉,충전형 물약,제어 와드,기괴한 가면,마법 부여: 룬의 메아리,마법사의 신발
88,리 신,승리,30분 45초,강타,점멸,정복자,영감,10/7/8,2.57,16,43,1.4,60%,죽음의 무도,요림의 주먹,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,닌자의 신발
89,엘리스,패배,33분 12초,강타,점멸,어둠의 수확,영감,4/5/4,1.60,14,26,0.8,33%,쓸데없이 큰 지팡이,충전형 물약,쓸데없이 큰 지팡이,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
90,리 신,패배,36분 53초,강타,점멸,정복자,영감,4/8/13,2.12,15,24,0.7,50%,죽음의 무도,루비 수정,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,닌자의 신발
91,엘리스,승리,15분 25초,강타,점멸,어둠의 수확,영감,7/0/4,Perfect,10,11,0.7,52%,-,충전형 물약,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
92,엘리스,패배,31분 41초,강타,점멸,어둠의 수확,영감,8/6/7,2.50,15,31,1.0,71%,리안드리의 고통,초시계,제어 와드,모렐로노미콘,마법 부여: 룬의 메아리,마법사의 신발
93,엘리스,패배,41분 26초,강타,점멸,어둠의 수확,영감,8/8/13,2.62,18,63,1.5,51%,모렐로노미콘,존야의 모래시계,쓸데없이 큰 지팡이,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
94,엘리스,패배,15분 16초,강타,점멸,어둠의 수확,영감,1/3/3,1.33,7,11,0.7,44%,증폭의 고서,충전형 물약,제어 와드,-,마법 부여: 룬의 메아리,속도의 장화
95,엘리스,승리,25분 42초,강타,점멸,어둠의 수확,영감,10/4/6,4.00,13,20,0.8,48%,-,존야의 모래시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
96,엘리스,패배,29분 32초,강타,점멸,어둠의 수확,영감,2/6/10,2.00,13,40,1.4,67%,충전형 물약,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
97,엘리스,승리,21분 6초,강타,점멸,어둠의 수확,영감,14/1/8,22.00,14,20,0.9,48%,충전형 물약,초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
98,엘리스,패배,30분 37초,강타,점멸,어둠의 수확,영감,6/9/7,1.44,13,37,1.2,50%,악마의 마법서,망가진 초시계,제어 와드,라바돈의 죽음모자,마법 부여: 룬의 메아리,마법사의 신발
99,엘리스,승리,23분 34초,강타,점멸,어둠의 수확,영감,9/2/7,8.00,13,18,0.8,47%,충전형 물약,존야의 역설,제어 와드,방출의 마법봉,마법 부여: 룬의 메아리,마법사의 신발
100,엘리스,승리,30분 12초,강타,점멸,어둠의 수확,영감,9/3/1,3.33,16,15,0.5,36%,방출의 마법봉,존야의 모래시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
101,카서스,패배,34분 28초,강타,점멸,어둠의 수확,정밀,9/9/15,2.67,18,68,2.0,73%,라바돈의 죽음모자,악마의 마법서,주문매듭 구슬,모렐로노미콘,마법 부여: 룬의 메아리,마법사의 신발
102,엘리스,승리,21분 51초,강타,점멸,어둠의 수확,영감,8/3/13,7.00,13,24,1.1,52%,망각의 구,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
103,리 신,승리,20분 3초,강타,점멸,정복자,영감,4/0/7,Perfect,12,29,1.4,42%,탐식의 망치,충전형 물약,제어 와드,마법 부여: 용사,칠흑의 양날 도끼,닌자의 신발
104,엘리스,승리,16분 10초,강타,점멸,어둠의 수확,영감,2/2/8,5.00,10,16,1.0,43%,충전형 물약,초시계,제어 와드,기괴한 가면,마법 부여: 룬의 메아리,마법사의 신발
105,엘리스,패배,35분 37초,강타,점멸,어둠의 수확,마법,5/9/4,1.00,15,36,1.0,36%,증폭의 고서,존야의 모래시계,제어 와드,모렐로노미콘,마법 부여: 룬의 메아리,마법사의 신발
106,엘리스,승리,32분 48초,강타,점멸,어둠의 수확,마법,11/3/17,9.33,16,34,1.0,62%,모렐로노미콘,존야의 모래시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
107,엘리스,승리,22분 15초,강타,점멸,어둠의 수확,마법,1/1/7,8.00,13,25,1.1,44%,암흑의 인장,충전형 물약,-,마법 부여: 룬의 메아리,리안드리의 고통,속도의 장화
108,엘리스,패배,15분 12초,강타,점멸,어둠의 수확,마법,1/3/0,0.33,7,14,0.9,33%,마법 부여: 룬의 메아리,충전형 물약,제어 와드,-,-,속도의 장화
109,엘리스,승리,28분 35초,강타,점멸,어둠의 수확,마법,6/1/16,22.00,15,23,0.8,56%,메자이의 영혼약탈자,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
110,엘리스,승리,15분 33초,강타,점멸,어둠의 수확,마법,8/1/6,14.00,11,20,1.3,61%,-,충전형 물약,-,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
111,올라프,패배,20분 36초,강타,점멸,정복자,영감,3/2/3,3.00,12,31,1.5,46%,수정 팔 보호구,충전형 물약,-,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
112,리 신,패배,32분 5초,강타,점멸,정복자,영감,3/7/9,1.71,14,30,0.9,55%,군단의 방패,콜필드의 전투 망치,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,닌자의 신발
113,엘리스,승리,36분 7초,강타,점멸,어둠의 수확,마법,16/4/15,7.75,18,55,1.5,69%,메자이의 영혼약탈자,존야의 모래시계,모렐로노미콘,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
114,엘리스,승리,25분 13초,강타,점멸,어둠의 수확,마법,6/3/8,4.67,12,22,0.9,48%,암흑의 인장,충전형 물약,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
115,리 신,승리,29분 48초,강타,점멸,정복자,영감,7/7/16,3.29,15,26,0.9,52%,군단의 방패,티아맷,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
116,누누와 윌럼프,패배,31분 5초,강타,점멸,난입,정밀,2/10/15,1.70,14,36,1.2,55%,파수꾼의 갑옷,마법공학 초기형 벨트-01,거인의 허리띠,쇠사슬 조끼,마법 부여: 잿불거인,닌자의 신발
117,엘리스,승리,21분 57초,강타,점멸,감전,마법,3/1/14,17.00,12,27,1.2,55%,-,충전형 물약,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
118,엘리스,패배,27분 4초,강타,점멸,어둠의 수확,마법,7/7/6,1.86,13,16,0.6,62%,망가진 초시계,악마의 마법서,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
119,리 신,패배,42분 45초,강타,점멸,정복자,영감,7/7/13,2.86,18,57,1.3,59%,죽음의 무도,스테락의 도전,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
120,리 신,승리,17분 16초,강타,점멸,정복자,영감,4/1/7,11.00,11,17,1.0,52%,점화석,충전형 물약,제어 와드,탐식의 망치,마법 부여: 용사,약간 신비한 장화
121,엘리스,승리,23분 44초,강타,점멸,어둠의 수확,마법,10/3/7,5.67,14,20,0.8,77%,기괴한 가면,존야의 모래시계,제어 와드,방출의 마법봉,마법 부여: 룬의 메아리,마법사의 신발
122,엘리스,승리,21분 40초,강타,점멸,어둠의 수확,마법,10/2/15,12.50,12,20,0.9,81%,망가진 초시계,추적자의 팔목 보호대,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
123,엘리스,승리,20분 25초,강타,점멸,어둠의 수확,마법,2/2/5,3.50,11,8,0.4,41%,-,망가진 초시계,제어 와드,충전형 물약,마법 부여: 룬의 메아리,마법사의 신발
124,엘리스,승리,29분 7초,강타,점멸,어둠의 수확,마법,13/6/14,4.50,14,28,1.0,59%,-,존야의 모래시계,-,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
125,리 신,패배,24분 55초,강타,점멸,정복자,영감,5/5/4,1.80,12,31,1.2,53%,콜필드의 전투 망치,충전형 물약,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
126,럭스,승리,37분 26초,방어막,점멸,수호자,마법,8/3/26,11.33,17,42,1.1,72%,불타는 향로,미카엘의 도가니,얼음 정수의 파편,구원,아테나의 부정한 성배,명석함의 아이오니아 장화
127,엘리스,패배,27분 25초,강타,점멸,어둠의 수확,마법,3/5/4,1.40,13,43,1.6,58%,-,존야의 모래시계,충전형 물약,-,마법 부여: 룬의 메아리,마법사의 신발
128,엘리스,승리,21분 50초,강타,점멸,어둠의 수확,마법,4/3/11,5.00,12,7,0.3,65%,충전형 물약,망가진 초시계,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
129,리 신,패배,24분 26초,강타,점멸,정복자,영감,9/5/7,3.20,14,32,1.3,76%,죽음의 무도,주문포식자,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
130,엘리스,승리,20분 18초,강타,점멸,어둠의 수확,마법,5/4/11,4.00,11,19,0.9,52%,증폭의 고서,충전형 물약,제어 와드,리안드리의 고통,마법 부여: 룬의 메아리,마법사의 신발
131,리 신,패배,30분 17초,강타,점멸,정복자,영감,3/6/4,1.17,14,14,0.5,35%,군단의 방패,콜필드의 전투 망치,제어 와드,칠흑의 양날 도끼,마법 부여: 용사,헤르메스의 발걸음
