,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
24,101,0,2469,21,4,8229,8100,8,11,17,2.27,17,177,4.3,56,3285,3089,3157,3165,0,3020
25,103,0,1569,14,4,8112,8200,2,4,0,0.50,12,128,4.9,18,1056,3285,2421,3191,0,3020
26,103,1,914,12,4,8351,8100,3,1,4,7.00,10,89,5.8,44,0,2033,3030,0,0,3020
27,101,0,1975,21,4,8214,8100,7,6,5,2.00,15,139,4.2,41,3285,1026,3157,3916,0,3020
28,235,1,2257,7,4,8351,8000,5,9,15,2.22,15,161,4.3,42,3042,3071,3033,3085,1018,3009
29,81,0,1613,7,4,8010,8300,2,6,7,1.50,13,119,4.4,45,3042,3105,3025,3158,0,0
30,235,0,1651,7,4,8351,8000,0,4,10,2.50,13,77,2.8,50,3044,3042,3123,0,0,3009
31,236,1,1310,21,4,8005,8300,7,2,2,4.50,13,128,5.9,25,1055,3004,3508,3123,1042,3111
32,236,0,928,3,4,8005,8300,1,2,0,0.50,10,78,5.0,50,1054,1037,2422,3070,1033,0
33,63,0,1286,14,4,8128,8200,0,6,3,0.50,10,29,1.4,38,3151,1052,3853,0,0,1001
34,235,0,1495,7,4,8351,8200,1,5,11,2.40,11,110,4.4,60,3004,3071,1036,1036,0,3009
35,236,0,886,7,4,8005,8200,1,3,1,0.67,7,33,2.2,50,1055,3133,1001,1018,0,0
36,81,1,2046,7,4,8010,8300,7,5,16,4.60,16,190,5.6,59,3042,3025,3812,3156,3123,3158
37,81,0,1653,7,4,8010,8300,2,7,4,0.86,12,134,4.9,29,3042,3025,1036,1033,0,3158
38,236,1,1832,7,4,8005,8200,4,4,10,3.50,14,171,5.6,54,3508,2421,3153,1037,1018,3047
39,81,1,2098,7,4,8010,8300,5,2,7,6.00,15,190,5.4,44,3042,3025,3123,3812,1036,3158
40,81,1,1877,7,4,8010,8300,4,2,11,7.50,14,101,3.2,47,3042,3025,3105,1036,1036,3158
41,145,0,1417,7,4,9923,8000,4,5,6,2.00,11,132,5.6,67,1055,3508,1043,1052,1037,3006
42,236,1,2057,7,4,8005,8200,4,3,6,3.33,16,130,3.8,26,3508,1038,3153,0,0,3047
